seed,success_a,ep_len_a,agent_energy_sum_a,agent_load_sum_a,agent_energy_mean_a,agent_load_mean_a,oracle_min_load_sum_a,oracle_min_energy_sum_a,oracle_shortest_len_a,detour_a,feasible_a,success_b,ep_len_b,agent_energy_sum_b,agent_load_sum_b,agent_energy_mean_b,agent_load_mean_b,oracle_min_load_sum_b,oracle_min_energy_sum_b,oracle_shortest_len_b,detour_b,feasible_b,d_energy,d_load,d_detour
22,True,11,1.0,0.6552194654941559,0.09090909090909091,0.05956540595401417,0.6552194654941559,0.0,11.0,0.0,False,True,11,1.0,2.2259062826633453,0.09090909090909091,0.20235511660575867,0.6552194654941559,0.0,11.0,0.0,False,0.0,-0.1427897106517445,0.0
23,True,12,0.0,0.9884144067764282,0.0,0.08236786723136902,0.0,0.0,12.0,0.0,False,True,12,1.0,0.05711993575096136,0.08333333333333333,0.004759994645913447,0.0,0.0,12.0,0.0,True,-0.08333333333333333,0.07760787258545557,0.0
24,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.0,0.0,0.0
25,True,13,0.0,0.7802349925041199,0.0,0.06001807634647076,0.15218576788902288,0.0,13.0,0.0,False,True,13,1.0,0.5696716606616975,0.07692307692307693,0.04382089697397673,0.15218576788902288,0.0,13.0,0.0,True,-0.07692307692307693,0.016197179372494028,0.0
26,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,1.0,11.0,0.0,True,True,11,1.0,0.8080542385578158,0.09090909090909091,0.0734594762325287,0.0,1.0,11.0,0.0,False,0.0,-0.0734594762325287,0.0
27,True,12,0.0,1.6856459081172943,0.0,0.14047049234310785,0.8787698149681091,0.0,12.0,0.0,False,True,12,0.0,2.491615742444992,0.0,0.20763464520374933,0.8787698149681091,0.0,12.0,0.0,False,0.0,-0.06716415286064148,0.0
28,True,11,0.0,2.148666262626648,0.0,0.19533329660242255,0.0,0.0,11.0,0.0,False,True,11,1.0,1.22035351395607,0.09090909090909091,0.1109412285414609,0.0,0.0,11.0,0.0,False,-0.09090909090909091,0.08439206806096164,0.0
29,True,11,0.0,0.5225653052330017,0.0,0.04750593683936379,0.0,0.0,11.0,0.0,True,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,-0.09090909090909091,0.04750593683936379,0.0
30,True,12,1.0,1.8149369657039642,0.08333333333333333,0.151244747141997,0.0,0.0,12.0,0.0,False,True,12,0.0,1.6286013722419739,0.0,0.1357167810201645,0.0,0.0,12.0,0.0,False,0.08333333333333333,0.01552796612183252,0.0
31,True,11,3.0,0.0,0.2727272727272727,0.0,0.0,1.0,11.0,0.0,False,True,11,2.0,1.213256984949112,0.18181818181818182,0.11029608954082835,0.0,1.0,11.0,0.0,False,0.09090909090909088,-0.11029608954082835,0.0
32,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,1.0,11.0,0.0,True,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,1.0,11.0,0.0,True,0.0,0.0,0.0
33,True,11,0.0,1.01947021484375,0.0,0.09267911044034091,0.0,0.0,11.0,0.0,False,True,11,1.0,0.8343565165996552,0.09090909090909091,0.07585059241815047,0.0,0.0,11.0,0.0,False,-0.09090909090909091,0.016828518022190445,0.0
