episode,seed,policy,success,feasible,total_reward,total_energy,total_load,gap_energy,gap_load,ep_len,map_hash
21,21,reward_only,True,False,2.0,18.0,10.221220217645168,16.8,9.721220217645168,18,842de408a84fba76758f398695a6ae1e
22,22,lagrange,True,False,15.0,9.0,1.599915474653244,7.8,1.099915474653244,5,5c7f8c4a613bb335df7170df0ea64dc4
22,22,reward_only,True,False,-97.0,167.0,9.934455528855324,165.8,9.434455528855324,117,5c7f8c4a613bb335df7170df0ea64dc4
23,23,lagrange,True,False,12.0,10.0,0.0,8.8,-0.5,8,4cac27dae4848ca3346297b77cc1ba13
23,23,reward_only,True,False,-4.0,36.0,17.72270679473877,34.8,17.22270679473877,24,4cac27dae4848ca3346297b77cc1ba13
24,24,lagrange,False,False,-256.0,508.0,478.814352825284,506.8,478.314352825284,256,7bebe41402db30dba9ab34a2b8d81b3a
24,24,reward_only,True,False,-196.0,266.0,92.85827483981848,264.8,92.35827483981848,216,7bebe41402db30dba9ab34a2b8d81b3a
25,25,lagrange,False,False,-256.0,256.0,0.10989576578140259,254.8,-0.3901042342185974,256,67645985a7b348ccc175397577e11185
25,25,reward_only,False,False,-256.0,354.0,409.51287721283734,352.8,409.01287721283734,256,67645985a7b348ccc175397577e11185
26,26,lagrange,False,False,-256.0,508.0,10.632641389966011,506.8,10.132641389966011,256,447478053d46f25f0091ee1b64f474b8
26,26,reward_only,True,False,-25.0,53.0,49.53671211376786,51.8,49.03671211376786,45,447478053d46f25f0091ee1b64f474b8
27,27,lagrange,False,False,-256.0,258.0,0.0,256.8,-0.5,256,e2ba1de2339441834db4e4247028d0ed
27,27,reward_only,True,False,-86.0,132.0,123.55003835633397,130.8,123.05003835633397,106,e2ba1de2339441834db4e4247028d0ed
28,28,lagrange,False,False,-256.0,512.0,0.0,510.8,-0.5,256,35af667ec64960de7337135078613218
28,28,reward_only,True,False,-19.0,53.0,41.731491684913635,51.8,41.231491684913635,39,35af667ec64960de7337135078613218
29,29,lagrange,False,False,-256.0,506.0,7.976197749376297,504.8,7.476197749376297,256,6b0a77c422a0dc72bb460a248b0e50ff
29,29,reward_only,True,False,-39.0,61.0,21.069350213510916,59.8,20.569350213510916,59,6b0a77c422a0dc72bb460a248b0e50ff
30,30,lagrange,False,False,-256.0,258.0,3.8799105305224657,256.8,3.3799105305224657,256,60810eb3b4942dd063767198ea15543c
30,30,reward_only,False,False,-256.0,274.0,19.74271534010768,272.8,19.24271534010768,256,60810eb3b4942dd063767198ea15543c
31,31,lagrange,True,False,17.0,5.0,1.2826359272003174,3.8,0.7826359272003174,3,bd8bc19a0eb78721c67a51de2ea33e1f
31,31,reward_only,True,False,9.0,29.0,0.0,27.8,-0.5,11,bd8bc19a0eb78721c67a51de2ea33e1f
32,32,lagrange,False,False,-256.0,256.0,2.537292242050171,254.8,2.037292242050171,256,f891114914b220f9f57dcd43a507026b
32,32,reward_only,True,False,3.0,29.0,0.0,27.8,-0.5,17,f891114914b220f9f57dcd43a507026b
33,33,lagrange,True,False,11.0,13.0,5.336797013878822,11.8,4.836797013878822,9,240405506ab676e7a7907df991a34893
33,33,reward_only,True,False,-57.0,89.0,51.276836171746254,87.8,50.776836171746254,77,240405506ab676e7a7907df991a34893
34,34,lagrange,False,False,-256.0,512.0,0.16438379883766174,510.8,-0.33561620116233826,256,7ecccb1662c6d0b0f13389aadc3d9c45
34,34,reward_only,True,False,-4.0,38.0,44.80396453291178,36.8,44.30396453291178,24,7ecccb1662c6d0b0f13389aadc3d9c45
35,35,lagrange,False,False,-256.0,258.0,479.28563997731544,256.8,478.78563997731544,256,184d4367d7147fe4622751b9c6626765
35,35,reward_only,True,False,-63.0,155.0,32.59678938658908,153.8,32.09678938658908,83,184d4367d7147fe4622751b9c6626765
36,36,lagrange,False,False,-256.0,258.0,3.4763237833976746,256.8,2.9763237833976746,256,ed1b62a54a4ec5618eafb2eb3d41efd2
