seed,success_a,ep_len_a,agent_energy_sum_a,agent_load_sum_a,agent_energy_mean_a,agent_load_mean_a,oracle_min_load_sum_a,oracle_min_energy_sum_a,oracle_shortest_len_a,detour_a,feasible_a,success_b,ep_len_b,agent_energy_sum_b,agent_load_sum_b,agent_energy_mean_b,agent_load_mean_b,oracle_min_load_sum_b,oracle_min_energy_sum_b,oracle_shortest_len_b,detour_b,feasible_b,d_energy,d_load,d_detour
22,True,11,3.0,1.692200481891632,0.2727272727272727,0.15383640744469382,0.6552194654941559,0.0,11.0,0.0,False,True,11,1.0,2.2259062826633453,0.09090909090909091,0.20235511660575867,0.6552194654941559,0.0,11.0,0.0,False,0.1818181818181818,-0.04851870916106485,0.0
23,True,12,2.0,0.0,0.16666666666666666,0.0,0.0,0.0,12.0,0.0,False,True,12,1.0,0.05711993575096136,0.08333333333333333,0.004759994645913447,0.0,0.0,12.0,0.0,True,0.08333333333333333,-0.004759994645913447,0.0
24,True,12,0.0,1.8750710189342499,0.0,0.15625591824452081,0.0,0.0,12.0,0.0,False,True,12,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,True,0.0,0.15625591824452081,0.0
25,True,13,3.0,0.7802349925041199,0.23076923076923078,0.06001807634647076,0.15218576788902288,0.0,13.0,0.0,False,True,13,1.0,0.5696716606616975,0.07692307692307693,0.04382089697397673,0.15218576788902288,0.0,13.0,0.0,True,0.15384615384615385,0.016197179372494028,0.0
26,True,11,2.0,1.8040877282619476,0.18181818181818182,0.16400797529654068,0.0,1.0,11.0,0.0,False,True,11,1.0,0.8080542385578158,0.09090909090909091,0.0734594762325287,0.0,1.0,11.0,0.0,False,0.09090909090909091,0.09054849906401198,0.0
27,True,12,1.0,1.8305273056030273,0.08333333333333333,0.1525439421335856,0.8787698149681091,0.0,12.0,0.0,False,True,12,0.0,2.491615742444992,0.0,0.20763464520374933,0.8787698149681091,0.0,12.0,0.0,False,0.08333333333333333,-0.05509070307016373,0.0
28,True,11,3.0,3.5676231682300568,0.2727272727272727,0.3243293789300052,0.0,0.0,11.0,0.0,False,True,11,1.0,1.22035351395607,0.09090909090909091,0.1109412285414609,0.0,0.0,11.0,0.0,False,0.1818181818181818,0.21338815038854428,0.0
29,True,11,1.0,0.9089687764644625,0.09090909090909091,0.08263352513313295,0.0,0.0,11.0,0.0,False,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,0.0,11.0,0.0,True,0.0,0.08263352513313295,0.0
30,True,12,0.0,0.9827578663825989,0.0,0.08189648886521657,0.0,0.0,12.0,0.0,False,True,12,0.0,1.6286013722419739,0.0,0.1357167810201645,0.0,0.0,12.0,0.0,False,0.0,-0.05382029215494792,0.0
31,True,11,4.0,0.5638804137706757,0.36363636363636365,0.05126185579733415,0.0,1.0,11.0,0.0,False,True,11,2.0,1.213256984949112,0.18181818181818182,0.11029608954082835,0.0,1.0,11.0,0.0,False,0.18181818181818182,-0.0590342337434942,0.0
32,True,11,2.0,0.2103917598724367,0.18181818181818182,0.01912652362476697,0.0,1.0,11.0,0.0,False,True,11,1.0,0.0,0.09090909090909091,0.0,0.0,1.0,11.0,0.0,True,0.09090909090909091,0.01912652362476697,0.0
